"frame","x [nm]","y [nm]","intensity [photon]","offset [photon]"
39511.0000,10892.0000, 3695.0000,10957.0000,  318.0000
39512.0000,10898.0000, 3694.0000,10985.0000,  311.0000
39514.0000,10898.0000, 3700.0000,10614.0000,  322.0000
39515.0000,10890.0000, 3698.0000,11079.0000,  316.0000
39517.0000,10901.0000, 3697.0000,10085.0000,  369.0000
39518.0000,10907.0000, 3695.0000, 9998.0000,  387.0000
39522.0000,10914.0000, 3697.0000, 6640.0000,  378.0000
41466.0000,10906.0000, 3708.0000, 5171.0000,  252.0000
41467.0000,10907.0000, 3709.0000, 8637.0000,  275.0000
41468.0000,10906.0000, 3713.0000, 8822.0000,  266.0000
41469.0000,10910.0000, 3706.0000, 8426.0000,  270.0000
41470.0000,10905.0000, 3716.0000, 8430.0000,  267.0000
41471.0000,10905.0000, 3709.0000, 9059.0000,  250.0000
41472.0000,10906.0000, 3710.0000, 8687.0000,  261.0000
41473.0000,10912.0000, 3711.0000, 8835.0000,  270.0000
41474.0000,10904.0000, 3709.0000, 8874.0000,  262.0000
41475.0000,10905.0000, 3718.0000, 9427.0000,  250.0000
41476.0000,10906.0000, 3709.0000, 8947.0000,  259.0000
41477.0000,10910.0000, 3718.0000, 8919.0000,  271.0000
41478.0000,10918.0000, 3711.0000, 6113.0000,  249.0000
46909.0000,10881.0000, 3719.0000,11359.0000,  262.0000
46911.0000,10879.0000, 3711.0000,13856.0000,  272.0000
46913.0000,10881.0000, 3713.0000,12185.0000,  279.0000
46916.0000,10880.0000, 3715.0000,12469.0000,  269.0000
46919.0000,10884.0000, 3715.0000,12709.0000,  257.0000
46922.0000,10881.0000, 3714.0000,11825.0000,  257.0000
46923.0000,10881.0000, 3715.0000,12089.0000,  260.0000
46926.0000,10883.0000, 3708.0000,12094.0000,  262.0000
46928.0000,10907.0000, 3728.0000, 3332.0000,  218.0000
46929.0000,10883.0000, 3721.0000, 2773.0000,  209.0000
46930.0000,10895.0000, 3726.0000, 3023.0000,  210.0000
46931.0000,10881.0000, 3707.0000, 3055.0000,  210.0000
46933.0000,10883.0000, 3720.0000, 2965.0000,  204.0000
46934.0000,10900.0000, 3719.0000, 2872.0000,  210.0000
47187.0000,10918.0000, 3707.0000, 8492.0000,  274.0000
47188.0000,10917.0000, 3713.0000, 9110.0000,  274.0000
47192.0000,10918.0000, 3705.0000, 8493.0000,  270.0000
47193.0000,10918.0000, 3711.0000, 8872.0000,  263.0000
47194.0000,10917.0000, 3708.0000, 9041.0000,  263.0000
47195.0000,10915.0000, 3704.0000, 8551.0000,  273.0000
47197.0000,10917.0000, 3709.0000, 8809.0000,  251.0000
47198.0000,10917.0000, 3708.0000, 8401.0000,  247.0000
47199.0000,10912.0000, 3716.0000, 9222.0000,  247.0000
47200.0000,10911.0000, 3709.0000, 9314.0000,  232.0000
47202.0000,10914.0000, 3713.0000, 8478.0000,  254.0000
47203.0000,10914.0000, 3705.0000, 9053.0000,  244.0000
47204.0000,10911.0000, 3710.0000, 9010.0000,  238.0000
47205.0000,10911.0000, 3709.0000, 9140.0000,  240.0000
47206.0000,10916.0000, 3719.0000, 9176.0000,  247.0000
47207.0000,10912.0000, 3708.0000, 9123.0000,  237.0000
47208.0000,10913.0000, 3716.0000, 8654.0000,  240.0000
47209.0000,10913.0000, 3713.0000, 9008.0000,  238.0000
47210.0000,10917.0000, 3713.0000, 9279.0000,  244.0000
47211.0000,10915.0000, 3710.0000, 8642.0000,  239.0000
47212.0000,10910.0000, 3712.0000, 9016.0000,  232.0000
47213.0000,10913.0000, 3715.0000, 9685.0000,  231.0000
47214.0000,10917.0000, 3712.0000, 9148.0000,  250.0000
47215.0000,10912.0000, 3714.0000, 9359.0000,  246.0000
47216.0000,10913.0000, 3716.0000, 8938.0000,  245.0000
47218.0000,10917.0000, 3711.0000, 9258.0000,  234.0000
47219.0000,10911.0000, 3710.0000, 9051.0000,  234.0000
47220.0000,10912.0000, 3714.0000, 8893.0000,  242.0000
47221.0000,10915.0000, 3700.0000, 5694.0000,  233.0000
48826.0000,10906.0000, 3695.0000,26057.0000,  362.0000
48827.0000,10906.0000, 3692.0000,26358.0000,  374.0000
48828.0000,10907.0000, 3694.0000,26627.0000,  363.0000
48831.0000,10905.0000, 3694.0000,26828.0000,  358.0000
50186.0000,10882.0000, 3714.0000,11062.0000,  383.0000
50191.0000,10895.0000, 3718.0000, 3622.0000,  261.0000
50195.0000,10884.0000, 3707.0000,11617.0000,  283.0000
50203.0000,10881.0000, 3704.0000,12483.0000,  257.0000
50214.0000,10881.0000, 3704.0000,12179.0000,  264.0000
51347.0000,10893.0000, 3694.0000,10757.0000,  273.0000
51348.0000,10891.0000, 3706.0000,11309.0000,  283.0000
51349.0000,10887.0000, 3699.0000,10143.0000,  263.0000
53618.0000,10892.0000, 3696.0000,22238.0000,  292.0000
61717.0000,10915.0000, 3712.0000, 9600.0000,  258.0000
61718.0000,10915.0000, 3713.0000, 9376.0000,  248.0000
61719.0000,10910.0000, 3707.0000,10007.0000,  236.0000
61720.0000,10911.0000, 3709.0000, 6380.0000,  236.0000
68744.0000,10889.0000, 3707.0000, 8560.0000,  244.0000
68753.0000,10889.0000, 3703.0000, 9125.0000,  219.0000
68754.0000,10881.0000, 3704.0000, 5931.0000,  209.0000
69122.0000,10909.0000, 3694.0000, 2175.0000,  231.0000
69123.0000,10904.0000, 3701.0000, 9208.0000,  270.0000
69124.0000,10911.0000, 3695.0000, 6196.0000,  238.0000
 3062.0000,10990.0000, 3177.0000, 8677.0000,  274.0000
 3066.0000,10985.0000, 3178.0000, 8759.0000,  253.0000
 3068.0000,10986.0000, 3177.0000, 8826.0000,  258.0000
 3080.0000,10991.0000, 3187.0000,10109.0000,  316.0000
 3083.0000,11015.0000, 3183.0000,14238.0000,  329.0000
 3100.0000,10989.0000, 3178.0000, 8654.0000,  269.0000
 3101.0000,10991.0000, 3178.0000, 8373.0000,  272.0000
 3103.0000,11015.0000, 3167.0000,11893.0000,  288.0000
 3110.0000,11014.0000, 3167.0000,18396.0000,  330.0000
 3111.0000,11000.0000, 3166.0000,23673.0000,  346.0000
 3112.0000,10996.0000, 3174.0000,24100.0000,  369.0000
 3137.0000,11002.0000, 3165.0000,14189.0000,  335.0000
 3138.0000,11007.0000, 3161.0000,11766.0000,  414.0000
 3139.0000,10990.0000, 3171.0000,11854.0000,  435.0000
 3140.0000,10986.0000, 3172.0000,12415.0000,  420.0000
 3141.0000,10998.0000, 3170.0000,11613.0000,  430.0000
